#,offset_hex,ctrl,size,original_en,traducao_pt,skip
1,0x07779B,02,29,"Your apartment
is down here.","Seu apartamento
está aqui.",0
2,0x0777B9,03,23,"GIRT, this is
KALT. 
 ","GIRT, aqui é
KALT.",0
3,0x0777D1,03,38,"We have a bit of
an issue on EAST
B2.","Temos um problema
no setor EAST
B2.",0
4,0x0777F8,03,42,"Head on down
there as quickly
as you can.","Va já lá embaixo
o mais rápido
que puder.",0
5,0x077823,03,29," This is the
 HEART NEXUS.
 ","Este é o
 HEART NEXUS.",0
6,0x077841,03,34," It pumps
 essential
 liquid fuel","Bombeia
 combustivel
 liquido",0
7,0x077864,03,36," throughout the 
 entire MACHINE.
 ","por toda a
 MÁQUINA.",0
8,0x077889,03,48,"Excuse me! you are
PROHIBITED from
distributing","Com licença! você
está PROIBIDO de
distribuir",0
9,0x0778BA,03,43,"political
materials near the
voting booth!","material
politico perto
da cabine!",0
10,0x0778E6,02,37,"Hello! GIRT, huh?
Let me see here...","Olá! GIRT, hein?
Veja só aqui...",0
11,0x07790C,02,33,"It looks like you
already voted!","Parece que você
já votou!",0
12,0x07792E,02,36,"You aren't trying
to vote twice are","Não está tentando
votar duas vezes",0
13,0x077953,02,22,"you? That's a
felony!","você? Isso é
crime!",0
14,0x07796A,02,37,"Ah yes, I see. You
live on level B2.","Ah sim, já vejo.
Você mora no B2.",0
15,0x077990,02,37,"Ah yes, I see. You
live on level B1.","Ah sim, já vejo.
Você mora no B1.",0
16,0x0779B6,02,36,"Ah yes, I see. You
live on level L.","Ah sim, já vejo.
Você mora no L.",0
17,0x0779DB,02,32,"It looks like your
residence is","Parece que sua
residência é",0
18,0x0779FC,02,31,"private for
security purposes.","privada por
razões de sigilo.",0
19,0x077A1C,02,37,"It looks like you
haven't voted yet.","Parece que você
ainda não votou.",0
20,0x077A42,02,28,"Would you like to
vote now?","Gostaria de
votar agora?",0
21,0x077A5F,02,32,"Let's see...Here's
your ballot.","Veja...aqui
está sua cédula.",0
